df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
311,49.05964,-118.35537,62618,British Columbia,Synthetic data,1418,Canada,State (Public),52,51,0.9807692307692307
312,49.05991,-122.0291,26449,British Columbia,Synthetic data,851,Canada,Federal (Public),49,47,0.9591836734693877
313,49.06,-123.807,50323,British Columbia,iNaturalist,54,Canada,Corporate/Other (Private),52,44,0.8461538461538461
314,49.06102,-119.59085,46719,British Columbia,Defoliation surveys,812,Canada,State (Public),51,32,0.6274509803921569
315,49.06148,-119.58237,46116,British Columbia,Defoliation surveys,823,Canada,State (Public),48,31,0.6458333333333334
316,49.06152,-107.25364,26450,Saskatchewan,Synthetic data,857,Canada,State (Public),51,51,1
317,49.06162,-109.09759,26451,Saskatchewan,Synthetic data,881,Canada,State (Public),52,52,1
318,49.06197,-119.61087,46117,British Columbia,Defoliation surveys,532,Canada,Corporate/Other (Private),50,43,0.86
319,49.06198,-119.56678,46720,British Columbia,Defoliation surveys,858,Canada,Corporate/Other (Private),52,29,0.5576923076923077
320,49.06245,-119.60452,46118,British Columbia,Defoliation surveys,645,Canada,Corporate/Other (Private),50,37,0.74
321,49.06249,-119.60364,46721,British Columbia,Defoliation surveys,660,Canada,Corporate/Other (Private),52,38,0.7307692307692307
322,49.06339,-119.59278,46119,British Columbia,Defoliation surveys,744,Canada,State (Public),50,32,0.64
323,49.06346,-111.77179,26452,Alberta,Synthetic data,1029,Canada,Corporate/Other (Private),51,51,1
324,49.06379,-118.4472,26453,British Columbia,Synthetic data,584,Canada,Corporate/Other (Private),51,26,0.5098039215686274
325,49.06384,-104.23719,26454,Saskatchewan,Synthetic data,713,Canada,Corporate/Other (Private),50,35,0.7
326,49.06411,-123.86767999999999,26455,British Columbia,Synthetic data,20,Canada,Corporate/Other (Private),49,49,1
327,49.0649,-110.07619,26456,Alberta,Synthetic data,867,Canada,Corporate/Other (Private),50,50,1
328,49.06511,-119.5684,46120,British Columbia,Defoliation surveys,773,Canada,Corporate/Other (Private),50,36,0.72
329,49.06543,-106.44402,26457,Saskatchewan,Synthetic data,878,Canada,Corporate/Other (Private),51,51,1
330,49.06573,-106.95801,26458,Saskatchewan,Synthetic data,809,Canada,Corporate/Other (Private),52,26,0.5
330,49.06573,-106.95801,26458,Saskatchewan,Synthetic data,809,Canada,State (Public),52,26,0.5
331,49.06596,-118.79031,70240,British Columbia,Synthetic data,1310,Canada,State (Public),51,46,0.9019607843137255
332,49.06611,-107.41914,26459,Saskatchewan,Synthetic data,779,Canada,State (Public),52,52,1
333,49.066160000000004,-119.5488,46722,British Columbia,Defoliation surveys,627,Canada,Corporate/Other (Private),52,47,0.9038461538461539
334,49.06698,-119.55177,46121,British Columbia,Defoliation surveys,646,Canada,Corporate/Other (Private),50,45,0.9
335,49.06732,-124.83523,68128,British Columbia,Synthetic data,57,Canada,State (Public),50,24,0.48
336,49.06779,-112.5045,26460,Alberta,Synthetic data,1169,Canada,Corporate/Other (Private),49,49,1
337,49.06951,-106.59005,26461,Saskatchewan,Synthetic data,859,Canada,State (Public),49,34,0.6938775510204082
338,49.06975,-122.79761,26462,British Columbia,Synthetic data,38,Canada,Corporate/Other (Private),51,51,1
339,49.06987,-104.59253,75394,Saskatchewan,Synthetic data,664,Canada,Corporate/Other (Private),49,49,1
340,49.0701,-107.28265,66595,Saskatchewan,Synthetic data,873,Canada,State (Public),49,49,1
341,49.07044,-111.48813,26463,Alberta,Synthetic data,932,Canada,Corporate/Other (Private),50,50,1
342,49.07058,-112.31862,26464,Alberta,Synthetic data,1188,Canada,Corporate/Other (Private),51,51,1
343,49.07177,-119.55596,46723,British Columbia,Defoliation surveys,651,Canada,Corporate/Other (Private),51,46,0.9019607843137255
344,49.07267,-105.06317,26465,Saskatchewan,Synthetic data,810,Canada,Corporate/Other (Private),51,34,0.6666666666666666
345,49.07324,-122.80041,68832,British Columbia,Synthetic data,0,Canada,Corporate/Other (Private),47,47,1
346,49.07342,-119.554,46122,British Columbia,Defoliation surveys,614,Canada,Corporate/Other (Private),49,46,0.9387755102040817
347,49.07376,-108.42415,73938,Saskatchewan,Synthetic data,890,Canada,Corporate/Other (Private),51,51,1
348,49.07419,-119.59729,46123,British Columbia,Defoliation surveys,723,Canada,Corporate/Other (Private),49,33,0.673469387755102
349,49.07506,-111.89505,26467,Alberta,Synthetic data,1014,Canada,Corporate/Other (Private),51,51,1
350,49.0752,-121.43015,69272,British Columbia,Synthetic data,619,Canada,State (Public),50,9,0.18
351,49.07527,-119.58782,46124,British Columbia,Defoliation surveys,825,Canada,Corporate/Other (Private),52,26,0.5
351,49.07527,-119.58782,46124,British Columbia,Defoliation surveys,825,Canada,State (Public),52,26,0.5
352,49.07608,-119.5911,46126,British Columbia,Defoliation surveys,790,Canada,Corporate/Other (Private),47,24,0.5106382978723404
353,49.07614,-114.95964,63774,British Columbia,Synthetic data,2093,Canada,State (Public),50,50,1
354,49.07616,-119.59353,46125,British Columbia,Defoliation surveys,778,Canada,Corporate/Other (Private),51,29,0.5686274509803921
355,49.07669,-119.04465,5002,British Columbia,Pheromone trapping,1082,Canada,Corporate/Other (Private),51,30,0.5882352941176471
356,49.07719,-117.66974,26468,British Columbia,Synthetic data,876,Canada,State (Public),50,27,0.54
357,49.07724,-119.58942,46127,British Columbia,Defoliation surveys,785,Canada,Corporate/Other (Private),49,26,0.5306122448979592
358,49.07782,-105.05241,67414,Saskatchewan,Synthetic data,773,Canada,Corporate/Other (Private),51,45,0.8823529411764706
359,49.07807,-107.9327,26469,Saskatchewan,Synthetic data,846,Canada,Corporate/Other (Private),48,48,1
360,49.07846,-115.81646,26470,British Columbia,Synthetic data,1764,Canada,State (Public),52,52,1
361,49.07885,-105.27981,26471,Saskatchewan,Synthetic data,802,Canada,Corporate/Other (Private),50,50,1
362,49.0789,-108.55442,26472,Saskatchewan,Synthetic data,913,Canada,Corporate/Other (Private),49,49,1
363,49.079,-123.706,50656,British Columbia,iNaturalist,42,Canada,Corporate/Other (Private),50,13,0.26
364,49.07916,-124.88488,26473,British Columbia,Synthetic data,631,Canada,State (Public),51,39,0.7647058823529411
365,49.07937,-125.36361,60280,British Columbia,Synthetic data,178,Canada,State (Public),49,45,0.9183673469387755
366,49.07957,-107.82995,26474,Saskatchewan,Synthetic data,883,Canada,Corporate/Other (Private),51,29,0.5686274509803921
367,49.07979,-123.90453,26475,British Columbia,Synthetic data,92,Canada,Corporate/Other (Private),50,48,0.96
368,49.08033,-120.11974,62002,British Columbia,Synthetic data,2048,Canada,State (Public),52,52,1
369,49.08099,-107.91666,26476,Saskatchewan,Synthetic data,845,Canada,Corporate/Other (Private),48,48,1
370,49.08326,-110.12954,26477,Alberta,Synthetic data,868,Canada,Corporate/Other (Private),51,46,0.9019607843137255
371,49.08342,-119.58553,46128,British Columbia,Defoliation surveys,729,Canada,Corporate/Other (Private),52,31,0.5961538461538461
372,49.08349,-121.53041,26478,British Columbia,Synthetic data,759,Canada,State (Public),49,49,1
373,49.08423,-108.2068,66231,Saskatchewan,Synthetic data,875,Canada,Corporate/Other (Private),52,44,0.8461538461538461
374,49.08591,-110.49638,26479,Alberta,Synthetic data,907,Canada,Corporate/Other (Private),52,52,1
375,49.08679,-115.86498,26480,British Columbia,Synthetic data,1495,Canada,State (Public),50,50,1
376,49.08756,-108.07143,66322,Saskatchewan,Synthetic data,862,Canada,Corporate/Other (Private),51,51,1
377,49.08801,-120.50463,26481,British Columbia,Synthetic data,1860,Canada,State (Public),50,50,1
378,49.08832,-115.22102,26482,British Columbia,Synthetic data,764,Canada,State (Public),51,34,0.6666666666666666
379,49.08896,-109.64703,26483,Saskatchewan,Synthetic data,914,Canada,State (Public),49,49,1
380,49.08903,-115.18664,63683,British Columbia,Synthetic data,818,Canada,State (Public),52,52,1
381,49.08956,-111.67812,26484,Alberta,Synthetic data,923,Canada,Corporate/Other (Private),51,51,1
382,49.08963,-109.94368,73392,Saskatchewan,Synthetic data,885,Canada,State (Public),49,49,1
383,49.08968,-118.53863,26485,British Columbia,Synthetic data,1018,Canada,Corporate/Other (Private),51,27,0.5294117647058824
384,49.08989,-122.85201,26486,British Columbia,Synthetic data,1,Canada,Corporate/Other (Private),51,35,0.6862745098039216
385,49.09137,-104.12893,26487,Saskatchewan,Synthetic data,699,Canada,Corporate/Other (Private),49,49,1
386,49.09153,-119.58279,46724,British Columbia,Defoliation surveys,624,Canada,State (Public),52,29,0.5576923076923077
387,49.09213,-107.01371,26489,Saskatchewan,Synthetic data,823,Canada,Corporate/Other (Private),51,49,0.9607843137254902
388,49.09299,-111.80963,64957,Alberta,Synthetic data,986,Canada,Corporate/Other (Private),50,50,1
389,49.09311,-120.02852,69800,British Columbia,Synthetic data,1268,Canada,State (Public),52,52,1
390,49.09345,-125.30086,26490,British Columbia,Synthetic data,1130,Canada,State (Public),51,51,1
391,49.09381,-111.72297,26491,Alberta,Synthetic data,961,Canada,Corporate/Other (Private),49,49,1
392,49.09498,-105.92235,74848,Saskatchewan,Synthetic data,871,Canada,Corporate/Other (Private),50,50,1
393,49.09498,-104.76861,75303,Saskatchewan,Synthetic data,752,Canada,Corporate/Other (Private),50,50,1
394,49.09515,-114.52702,26492,British Columbia,Synthetic data,1318,Canada,State (Public),51,51,1
395,49.09547,-123.83695,68480,British Columbia,Synthetic data,57,Canada,Corporate/Other (Private),49,32,0.6530612244897959
396,49.09618,-118.04991,26493,British Columbia,Synthetic data,1999,Canada,State (Public),50,50,1
397,49.09695,-125.79152,68028,British Columbia,Synthetic data,40,Canada,State (Public),49,45,0.9183673469387755
398,49.098,-119.619,50110,British Columbia,iNaturalist,1015,Canada,State (Public),51,41,0.803921568627451
399,49.09804,-106.20989,66959,Saskatchewan,Synthetic data,950,Canada,Corporate/Other (Private),51,51,1
400,49.09816,-123.9216,26494,British Columbia,Synthetic data,36,Canada,Corporate/Other (Private),51,51,1
401,49.09827,-121.88362,61298,British Columbia,Synthetic data,176,Canada,Corporate/Other (Private),52,45,0.8653846153846154
402,49.09904,-113.49112,26495,Alberta,Synthetic data,1360,Canada,Corporate/Other (Private),49,49,1
403,49.09907,-124.61901,26496,British Columbia,Synthetic data,952,Canada,Corporate/Other (Private),50,50,1
404,49.09974,-118.38257,26497,British Columbia,Synthetic data,1059,Canada,State (Public),49,43,0.8775510204081632
405,49.1,-123.836,50598,British Columbia,iNaturalist,58,Canada,Corporate/Other (Private),47,26,0.5531914893617021
406,49.10072,-124.74457,26498,British Columbia,Synthetic data,509,Canada,State (Public),52,34,0.6538461538461539
407,49.10094,-111.33464,26499,Alberta,Synthetic data,924,Canada,Corporate/Other (Private),50,50,1
408,49.10119,-120.08872,26500,British Columbia,Synthetic data,1838,Canada,State (Public),49,49,1
409,49.10149,-107.18051,74393,Saskatchewan,Synthetic data,936,Canada,Corporate/Other (Private),49,38,0.7755102040816326
410,49.10167,-107.31235,26501,Saskatchewan,Synthetic data,849,Canada,State (Public),50,50,1
411,49.10222,-106.14696000000001,74757,Saskatchewan,Synthetic data,889,Canada,Corporate/Other (Private),52,52,1
412,49.10279,-119.57564,46725,British Columbia,Defoliation surveys,612,Canada,State (Public),51,34,0.6666666666666666
413,49.10289,-120.02902,26502,British Columbia,Synthetic data,1004,Canada,State (Public),50,50,1
