estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.6956482967718923,0.6870651518947357,0.7040955913556904,0.6871318482273385,0.7041647453164461,recall,0.75,0,0,0
0.9183358303561139,0.9157212719822694,0.9208752934262433,0.9157588992351394,0.9209127614770883,accuracy,0.75,0,0,0
0.9836086243853234,0.9805690043570323,0.9861736153065515,0.9808140803229937,0.9864031684476531,precision,0.75,0,0,0
0.9959590935936091,0.9952037190969595,0.9965944389370548,0.9952658530766068,0.9966523341106115,specificity,0.75,0,0,0
0.8149386262731784,NA,NA,0.8094375365512961,0.8204397159950606,F1,0.75,0,0,0
0.6776350989834136,0.6689240944164551,0.6862227608397868,0.6689844713781768,0.6862857265886503,recall,0.775,0,0,0
0.9141177826437709,0.911443979079436,0.9167172480487831,0.9114812146628706,0.9167543506246711,accuracy,0.775,0,0,0
0.985603112840467,0.9826902326364505,0.9880257729381139,0.9829441380739417,0.9882620876069923,precision,0.775,0,0,0
0.9965496876068509,0.9958465279655909,0.9971326806391843,0.9959089171520012,0.9971904580617006,specificity,0.775,0,0,0
0.8031071655041218,NA,NA,0.7974414950807399,0.8087728359275036,F1,0.775,0,0,0
0.6559657570893526,0.6471203739293456,0.6647028438139003,0.6471731591278005,0.6647583550509046,recall,0.8,0,0,0
0.9090008067304368,0.9062576752850524,0.9116705185249399,0.9062944366978785,0.9117071767629952,accuracy,0.8,0,0,0
