value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
43.8149720722807,0.51519533280548,0,5e-4,0.01975,0.9985,0.99275,0.9655,min_rh,0
45.1486311585146,0.506819792760383,0,5e-4,0.021,0.99775,0.99,0.959,min_rh,0
46.4822902447485,0.500358086476066,0,5e-4,0.022,0.996,0.9845,0.945,min_rh,0
47.8159493309824,0.48716520646505,2.5e-4,7.5e-4,0.023,0.9935,0.9695,0.91525,min_rh,0
49.1496084172164,0.480431437939997,2.5e-4,7.5e-4,0.0235,0.9925,0.96,0.90175,min_rh,0
50.4832675034503,0.47321011411949,2.5e-4,0.001,0.02625,0.98825,0.948,0.88625,min_rh,0
51.8169265896842,0.462710759591717,2.5e-4,0.001,0.02775,0.98075,0.92725,0.8665,min_rh,0
53.1505856759181,0.454625372222318,2.5e-4,0.001,0.029,0.971,0.9115,0.848,min_rh,0
54.484244762152,0.419882153983855,5e-4,0.00175,0.0295,0.92425,0.84575,0.77325,min_rh,0
55.8179038483859,0.400214808854158,0.001,0.002,0.0235,0.897,0.80775,0.7335,min_rh,0
57.1515629346199,0.391581286469181,7.5e-4,0.002,0.019,0.8765,0.79125,0.7195,min_rh,0
58.4852220208538,0.385574749987091,7.5e-4,0.00175,0.01625,0.8595,0.782,0.71075,min_rh,0
59.8188811070877,0.384566926863693,7.5e-4,0.00175,0.016,0.8555,0.78025,0.70925,min_rh,0
61.1525401933216,0.383381314869959,0.00125,0.00225,0.016,0.84975,0.776,0.70725,min_rh,0
62.4861992795555,0.381939450401914,0.0015,0.00225,0.01625,0.8435,0.771,0.70375,min_rh,0
63.8198583657894,0.380992839561423,0.00125,0.00225,0.01625,0.8405,0.76825,0.70175,min_rh,0
65.1535174520234,0.380640515000775,0.001,0.00225,0.01625,0.839,0.76725,0.701,min_rh,0
66.4871765382573,0.380800256467632,0.00125,0.00225,0.01675,0.8384,0.767,0.701,min_rh,0
67.8208356244912,0.380789864364769,0.00125,0.00225,0.01675,0.837,0.767,0.70125,min_rh,0
69.1544947107251,0.381282247792485,0.0025,0.00375,0.018,0.83625,0.76675,0.70125,min_rh,0
70.488153796959,0.381837448577379,0.004,0.006,0.019,0.83575,0.76675,0.70125,min_rh,0
71.8218128831929,0.381923115651411,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
73.1554719694269,0.381918141212111,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
74.4891310556608,0.38191501712653,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
75.8227901418947,0.38191501712653,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
77.1564492281286,0.38191501712653,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
78.4901083143625,0.38191501712653,0.0045,0.006,0.0195,0.83575,0.76675,0.701,min_rh,0
-6.83963305199985e-07,0.51728998054977,0,0,0.013,0.98425,0.975,0.94675,min_tp,0
