lat,lon,total_acres,pseu_acres,abies_acres
51.25,-112,0,0,0
51,-112,579.846153846154,579.846153846154,0
51.5,-126.5,52079.75962045338,5692.292567211389,48604.630732735925
50.75,-112,265.9677419354834,265.9677419354834,0
50.5,-112,327.95246636771355,327.95246636771355,0
50.25,-112,62.346266378323314,62.346266378323314,0
50,-112,108.9507140149119,108.9507140149119,0
49.75,-112,139.77380504328144,139.77380504328144,0
49.5,-112,0,0,0
49.25,-112,0,0,0
51.25,-126.5,52464.63265306126,3844.9999999999936,50455.81632653058
54,-111.75,0,0,0
53.75,-111.75,0,0,0
53.5,-111.75,0,0,0
53.25,-111.75,0,0,0
53,-111.75,0,0,0
52.75,-111.75,0,0,0
52.5,-111.75,0,0,0
52.25,-111.75,0,0,0
52,-111.75,0,0,0
51,-126.5,73872.40000000001,13511.865,63828.01499999999
51.75,-111.75,0,0,0
51.5,-111.75,0,0,0
51.25,-111.75,0,0,0
51,-111.75,31.343035343035357,31.343035343035357,0
50.75,-111.75,265.9334279447815,265.9334279447815,0
50.5,-111.75,265.5193490517688,265.5193490517688,0
50.25,-111.75,202.65114503816744,202.65114503816744,0
50,-111.75,77.8022741629812,77.8022741629812,0
49.75,-111.75,170.8560853199497,170.8560853199497,0
49.5,-111.75,0,0,0
50.75,-126.5,63868.41311343528,34043.644408688706,33433.98028962192
49.25,-111.75,0,0,0
54,-111.5,0,0,0
53.75,-111.5,0,0,0
53.5,-111.5,0,0,0
53.25,-111.5,0,0,0
53,-111.5,0,0,0
50.5,-126.5,90916.37634765296,45993.941781389905,58629.64007298059
52.75,-111.5,0,0,0
52.5,-111.5,0,0,0
52.25,-111.5,0,0,0
52,-111.5,0,0,0
51.75,-111.5,0,0,0
51.5,-111.5,0,0,0
51.25,-111.5,0,0,0
51,-111.5,62.66978435957278,62.66978435957278,0
50.75,-111.5,125.17744225061355,125.17744225061355,0
50.5,-111.5,0,0,0
50.25,-128,41695.41492537319,2377.3701492537357,40049.54328358208
50.25,-126.5,108338.61483649314,57653.79157653641,78872.50718920985
50.25,-111.5,15.588549618319913,15.588549618319913,0
50,-111.5,0,0,0
49.75,-111.5,310.6474278544538,310.6474278544538,0
49.5,-111.5,0,0,0
49.25,-111.5,0,0,0
54,-111.25,0,0,0
50,-126.5,80976.60694883128,38838.895262160404,61603.84068224893
53.75,-111.25,0,0,0
53.5,-111.25,0,0,0
53.25,-111.25,0,0,0
53,-111.25,0,0,0
52.75,-111.25,0,0,0
52.5,-111.25,0,0,0
52.25,-111.25,0,0,0
52,-111.25,0,0,0
51.75,-111.25,0,0,0
51.5,-111.25,0,0,0
49.75,-126.5,87732.0679962312,33164.39353015072,75795.99670226133
51.25,-111.25,0,0,0
51,-111.25,47.026774109694884,47.026774109694884,0
50.75,-111.25,0,0,0
50.5,-111.25,0,0,0
50.25,-111.25,0,0,0
50,-111.25,46.699064711830026,46.699064711830026,0
49.75,-111.25,0,0,0
49.5,-111.25,0,0,0
49.25,-111.25,0,0,0
49.5,-126.5,52430.60124173843,18888.971359903917,44830.1576206689
54,-111,0,0,0
53.75,-111,0,0,0
53.5,-111,0,0,0
53.25,-111,0,0,0
53,-111,0,0,0
52.75,-111,0,0,0
52.5,-111,0,0,0
52.25,-111,0,0,0
52,-111,0,0,0
51.75,-111,0,0,0
51.5,-111,0,0,0
51.25,-111,0,0,0
51,-111,47.02066276803063,47.02066276803063,0
50.75,-111,0,0,0
50.5,-111,0,0,0
50.25,-111,0,0,0
50,-111,15.560454832596243,15.560454832596243,0
49.75,-111,62.12948557089002,62.12948557089002,0
49.5,-111,0,0,0
49.25,-111,0,0,0
54,-110.75,0,0,0
53.75,-110.75,0,0,0
53.5,-110.75,0,0,0
53.25,-110.75,0,0,0
53,-110.75,0,0,0
52.75,-110.75,0,0,0
52.5,-110.75,0,0,0
52.25,-110.75,0,0,0
52,-110.75,0,0,0
51.75,-110.75,0,0,0
51.5,-110.75,0,0,0
51.25,-110.75,0,0,0
51,-110.75,0,0,0
50.75,-110.75,0,0,0
50.5,-110.75,0,0,0
50.25,-110.75,0,0,0
50,-110.75,155.52595024624364,155.52595024624364,0
49.75,-110.75,46.64979273960463,46.64979273960463,0
