id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
106,-127.125000000000000,51.875000000000000,-126.875000000000000,51.625000000000000,9,4,118669,7536,3361,0.445992569002123
107,-127.125000000000000,51.625000000000000,-126.875000000000000,51.375000000000000,10,4,119318,7576,3464,0.457233368532207
108,-127.125000000000000,51.375000000000000,-126.875000000000000,51.125000000000000,11,4,119964,7368,3520,0.477741585233442
109,-127.125000000000000,51.125000000000000,-126.875000000000000,50.875000000000000,12,4,120608,6203,1537,0.247783330646461
110,-127.125000000000000,50.875000000000000,-126.875000000000000,50.625000000000000,13,4,121250,2339,73,0.0312099187687046
111,-127.125000000000000,50.625000000000000,-126.875000000000000,50.375000000000000,14,4,121889,6467,2156,0.333384877068192
112,-127.125000000000000,50.375000000000000,-126.875000000000000,50.125000000000000,15,4,122526,7825,4227,0.540191693290735
113,-127.125000000000000,50.125000000000000,-126.875000000000000,49.875000000000000,16,4,123161,7445,4836,0.649563465413029
114,-127.125000000000000,49.875000000000000,-126.875000000000000,49.625000000000000,17,4,123793,1691,479,0.283264340626848
115,-127.125000000000000,49.625000000000000,-126.875000000000000,49.375000000000000,18,4,124423,0,0,
116,-127.125000000000000,49.375000000000000,-126.875000000000000,49.125000000000000,19,4,125050,0,0,
117,-127.125000000000000,49.125000000000000,-126.875000000000000,48.875000000000000,20,4,125675,0,0,
118,-127.125000000000000,48.875000000000000,-126.875000000000000,48.625000000000000,21,4,126297,0,0,
119,-127.125000000000000,48.625000000000000,-126.875000000000000,48.375000000000000,22,4,126917,0,0,
120,-127.125000000000000,48.375000000000000,-126.875000000000000,48.125000000000000,23,4,127534,0,0,
121,-126.875000000000000,54.125000000000000,-126.625000000000000,53.875000000000000,0,5,112725,7060,2811,0.398158640226629
122,-126.875000000000000,53.875000000000000,-126.625000000000000,53.625000000000000,1,5,113394,7115,1791,0.25172171468728
123,-126.875000000000000,53.625000000000000,-126.625000000000000,53.375000000000000,2,5,114062,7168,5208,0.7265625
124,-126.875000000000000,53.375000000000000,-126.625000000000000,53.125000000000000,3,5,114727,7214,3892,0.539506515109509
125,-126.875000000000000,53.125000000000000,-126.625000000000000,52.875000000000000,4,5,115389,7273,3838,0.527705211054585
126,-126.875000000000000,52.875000000000000,-126.625000000000000,52.625000000000000,5,5,116050,7320,2945,0.402322404371585
127,-126.875000000000000,52.625000000000000,-126.625000000000000,52.375000000000000,6,5,116708,7190,2439,0.339221140472879
128,-126.875000000000000,52.375000000000000,-126.625000000000000,52.125000000000000,7,5,117364,7135,3056,0.428311142256482
129,-126.875000000000000,52.125000000000000,-126.625000000000000,51.875000000000000,8,5,118018,6940,3366,0.485014409221902
130,-126.875000000000000,51.875000000000000,-126.625000000000000,51.625000000000000,9,5,118669,7537,3533,0.468754146212021
131,-126.875000000000000,51.625000000000000,-126.625000000000000,51.375000000000000,10,5,119318,7588,3550,0.467843964153927
132,-126.875000000000000,51.375000000000000,-126.625000000000000,51.125000000000000,11,5,119964,7419,3173,0.42768567192344
133,-126.875000000000000,51.125000000000000,-126.625000000000000,50.875000000000000,12,5,120608,6264,2705,0.431832694763729
134,-126.875000000000000,50.875000000000000,-126.625000000000000,50.625000000000000,13,5,121250,3080,351,0.113961038961039
135,-126.875000000000000,50.625000000000000,-126.625000000000000,50.375000000000000,14,5,121889,5518,3377,0.611997100398695
136,-126.875000000000000,50.375000000000000,-126.625000000000000,50.125000000000000,15,5,122526,7858,4672,0.594553321455841
137,-126.875000000000000,50.125000000000000,-126.625000000000000,49.875000000000000,16,5,123161,7489,4348,0.580584857791427
138,-126.875000000000000,49.875000000000000,-126.625000000000000,49.625000000000000,17,5,123793,7093,3333,0.469899901311152
139,-126.875000000000000,49.625000000000000,-126.625000000000000,49.375000000000000,18,5,124423,661,90,0.136157337367625
140,-126.875000000000000,49.375000000000000,-126.625000000000000,49.125000000000000,19,5,125050,0,0,
141,-126.875000000000000,49.125000000000000,-126.625000000000000,48.875000000000000,20,5,125675,0,0,
142,-126.875000000000000,48.875000000000000,-126.625000000000000,48.625000000000000,21,5,126297,0,0,
143,-126.875000000000000,48.625000000000000,-126.625000000000000,48.375000000000000,22,5,126917,0,0,
144,-126.875000000000000,48.375000000000000,-126.625000000000000,48.125000000000000,23,5,127534,0,0,
145,-126.625000000000000,54.125000000000000,-126.375000000000000,53.875000000000000,0,6,112725,7064,1039,0.147083805209513
146,-126.625000000000000,53.875000000000000,-126.375000000000000,53.625000000000000,1,6,113394,7113,2281,0.320680444256994
147,-126.625000000000000,53.625000000000000,-126.375000000000000,53.375000000000000,2,6,114062,7165,4511,0.629588276343336
148,-126.625000000000000,53.375000000000000,-126.375000000000000,53.125000000000000,3,6,114727,7218,2525,0.349819894707675
149,-126.625000000000000,53.125000000000000,-126.375000000000000,52.875000000000000,4,6,115389,7270,4402,0.605502063273728
150,-126.625000000000000,52.875000000000000,-126.375000000000000,52.625000000000000,5,6,116050,7322,4164,0.568697077301284
151,-126.625000000000000,52.625000000000000,-126.375000000000000,52.375000000000000,6,6,116708,7375,2806,0.380474576271186
152,-126.625000000000000,52.375000000000000,-126.375000000000000,52.125000000000000,7,6,117364,7428,2760,0.37156704361874
153,-126.625000000000000,52.125000000000000,-126.375000000000000,51.875000000000000,8,6,118018,7481,3066,0.409838256917524
154,-126.625000000000000,51.875000000000000,-126.375000000000000,51.625000000000000,9,6,118669,7535,3622,0.480690112806901
155,-126.625000000000000,51.625000000000000,-126.375000000000000,51.375000000000000,10,6,119318,7588,3091,0.407353716394307
156,-126.625000000000000,51.375000000000000,-126.375000000000000,51.125000000000000,11,6,119964,7644,3215,0.420591313448456
157,-126.625000000000000,51.125000000000000,-126.375000000000000,50.875000000000000,12,6,120608,6400,3387,0.52921875
158,-126.625000000000000,50.875000000000000,-126.375000000000000,50.625000000000000,13,6,121250,4972,1371,0.275744167337088
159,-126.625000000000000,50.625000000000000,-126.375000000000000,50.375000000000000,14,6,121889,6029,2900,0.481008459114281
160,-126.625000000000000,50.375000000000000,-126.375000000000000,50.125000000000000,15,6,122526,7859,5059,0.643720575136786
161,-126.625000000000000,50.125000000000000,-126.375000000000000,49.875000000000000,16,6,123161,7915,3959,0.500189513581807
162,-126.625000000000000,49.875000000000000,-126.375000000000000,49.625000000000000,17,6,123793,6368,3899,0.612280150753769
163,-126.625000000000000,49.625000000000000,-126.375000000000000,49.375000000000000,18,6,124423,4993,1799,0.360304426196675
164,-126.625000000000000,49.375000000000000,-126.375000000000000,49.125000000000000,19,6,125050,0,0,
165,-126.625000000000000,49.125000000000000,-126.375000000000000,48.875000000000000,20,6,125675,0,0,
166,-126.625000000000000,48.875000000000000,-126.375000000000000,48.625000000000000,21,6,126297,0,0,
167,-126.625000000000000,48.625000000000000,-126.375000000000000,48.375000000000000,22,6,126917,0,0,
168,-126.625000000000000,48.375000000000000,-126.375000000000000,48.125000000000000,23,6,127534,0,0,
169,-126.375000000000000,54.125000000000000,-126.125000000000000,53.875000000000000,0,7,112725,7060,1219,0.172662889518414
170,-126.375000000000000,53.875000000000000,-126.125000000000000,53.625000000000000,1,7,113394,7114,1191,0.167416362102896
171,-126.375000000000000,53.625000000000000,-126.125000000000000,53.375000000000000,2,7,114062,7166,3774,0.526653642199274
172,-126.375000000000000,53.375000000000000,-126.125000000000000,53.125000000000000,3,7,114727,7216,2972,0.411862527716186
