lat,lon,land
35.75,-111.5,TRUE
35.75,-111.25,TRUE
35.75,-111,TRUE
35.75,-110.75,TRUE
35.75,-110.5,TRUE
35.75,-110.25,TRUE
35.75,-110,TRUE
35.75,-109.75,TRUE
35.75,-109.5,TRUE
35.75,-109.25,TRUE
35.75,-109,TRUE
35.75,-108.75,TRUE
35.75,-108.5,TRUE
35.75,-108.25,TRUE
35.75,-108,TRUE
35.75,-107.75,TRUE
35.75,-107.5,TRUE
35.75,-107.25,TRUE
35.75,-107,TRUE
35.75,-106.75,TRUE
35.75,-106.5,TRUE
35.75,-106.25,TRUE
35.75,-106,TRUE
35.75,-105.75,TRUE
35.75,-105.5,TRUE
35.75,-105.25,TRUE
35.75,-105,TRUE
35.75,-104.75,TRUE
35.75,-104.5,TRUE
35.75,-104.25,TRUE
35.75,-104,TRUE
36,-121.5,TRUE
36,-121.25,TRUE
36,-121,TRUE
36,-120.75,TRUE
36,-120.5,TRUE
36,-120.25,TRUE
36,-120,TRUE
