area_meters,area_km,year,num,type,lon_cent,lat_cent,manual_id
16805.48918791674,0.01680548918791674,2007,NA,not to break,-114.4398641879218,48.09670775566739,5755
25770.599984401837,0.02577059998440183,2007,NA,not to break,-114.36127669765216,48.10888201383153,5756
50570.92750457674,0.05057092750457674,2007,NA,not to break,-114.38921773159343,48.11076533323244,5757
46008.79018838983,0.04600879018838983,2007,NA,not to break,-114.40026396697309,48.116022482750935,5758
80950.31518550217,0.08095031518550218,2007,NA,not to break,-114.36824619795684,48.118480647852245,5759
487095.38646740094,0.4870953864674009,2007,NA,not to break,-114.3584031153928,48.12293348598842,5760
39291.564070547,0.039291564070547,2007,NA,not to break,-114.38787579859392,48.12789936894097,5761
290474.47931705136,0.29047447931705134,2007,NA,not to break,-114.52636279953698,48.13018293007883,5762
27466.84592010267,0.02746684592010267,2007,NA,not to break,-114.40762782349778,48.136789230757074,5763
557367.2714139819,0.5573672714139819,2007,NA,not to break,-114.39075258762244,48.14604387627594,5764
254240.09877693653,0.25424009877693654,2007,NA,not to break,-110.92413389389463,33.78405097745477,5765
102720.77984431386,0.10272077984431384,2007,NA,not to break,-110.93146900656484,33.79115159054051,5766
192284.12743353844,0.19228412743353843,2007,NA,not to break,-110.95904844654788,33.79549454026085,5767
76906.43205100298,0.07690643205100298,2007,NA,not to break,-110.94278422167932,33.800271847875905,5768
2600337.0247559138,2.600337024755914,2007,NA,not to break,-110.94277081076198,33.824140062308814,5769
1201094.536573101,1.2010945365731012,2007,NA,not to break,-110.92429506000464,33.8436779453764,5770
2295.9236433804035,0.0022959236433804,2007,NA,not to break,-110.91082301255736,33.84674855962299,5771
32145.885731013022,0.03214588573101303,2007,NA,not to break,-110.93956037306197,33.84695522890315,5772
2295.9094142615795,0.00229590941426157,2007,NA,not to break,-110.90973067726468,33.84797439740819,5773
5731.80131254741,0.00573180131254741,2007,NA,not to break,-110.911382193106,33.84888533659996,5774
2297.014024436474,0.00229701402443647,2007,NA,not to break,-110.91413533030506,33.85040333961572,5775
2295.9236538410187,0.00229592365384101,2007,NA,not to break,-110.91157428590816,33.850717597214825,5776
2295.9558488726616,0.00229595584887266,2007,NA,not to break,-110.91157739076748,33.851328279232014,5777
2296.9222874343395,0.00229692228743433,2007,NA,not to break,-110.91341368152425,33.852543033966256,5778
2296.9822869598866,0.00229698228695988,2007,NA,not to break,-110.91305198928544,33.85346049402297,5779
2296.919480383396,0.00229691948038339,2007,NA,not to break,-110.9112244516353,33.85407703150936,5780
2295.9236299991608,0.00229592362999916,2007,NA,not to break,-110.91488696484402,33.85437045443724,5781
48205.30560383084,0.04820530560383084,2007,NA,not to break,-110.93444327875716,33.85449618352699,5782
2295.966011017561,0.00229596601101756,2007,NA,not to break,-110.91781721980676,33.854665933112386,5783
2296.939866691828,0.00229693986669182,2007,NA,not to break,-110.91635717098754,33.85558717514124,5784
2295.9825050234795,0.00229598250502347,2007,NA,not to break,-110.91086736031058,33.85591219586924,5785
2295.8602334558964,0.00229586023345589,2007,NA,not to break,-110.91746155789704,33.856805142165804,5786
