lat,lon,Cropland,Mixed Forest,No data,Temperate or sub-polar broadleaf deciduous forest,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Urban and Built-up,Water,Wetland,Temperate or sub-polar grassland,Barren Lands,Snow and Ice,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,Sub-polar taiga needleleaf forest,near_needle
49,-120.775,NA,NA,NA,NA,0.2313195548489666,0.6987281399046105,NA,NA,NA,0.06995230524642289,NA,NA,NA,NA,NA,TRUE
49,-120.75,NA,NA,NA,NA,0.6634844868735084,0.07000795544948289,NA,NA,NA,0.007159904534606206,0.09944311853619729,0.15990453460620524,NA,NA,NA,TRUE
49,-120.725,NA,0.008744038155802861,NA,NA,0.9777424483306836,0.005564387917329093,NA,NA,0.00794912559618442,NA,NA,NA,NA,NA,NA,TRUE
49,-120.7,NA,NA,NA,NA,0.7972972972972973,0.15977742448330684,0.011128775834658187,NA,NA,0.03179650238473768,NA,NA,NA,NA,NA,TRUE
49,-120.675,0.0192,NA,NA,NA,0.6216,0.256,0.004,NA,NA,0.0992,NA,NA,NA,NA,NA,TRUE
49,-120.65,NA,NA,NA,NA,0.8444976076555024,0.03269537480063796,NA,NA,NA,NA,0.05661881977671451,0.06618819776714513,NA,NA,NA,TRUE
49,-120.625,NA,NA,NA,0.00796812749003984,0.9569721115537848,0.03187250996015936,NA,NA,NA,0.0031872509960159364,NA,NA,NA,NA,NA,TRUE
49,-120.6,NA,NA,NA,NA,0.43595863166268894,0.17820206841686556,NA,0.2863961813842482,NA,0.09944311853619729,NA,NA,NA,NA,NA,TRUE
49,-120.575,NA,NA,NA,0.007974481658692184,0.748006379585327,0.14035087719298245,NA,0.09569377990430622,NA,0.007974481658692184,NA,NA,NA,NA,NA,TRUE
49,-120.55,0.030303030303030304,0.04784688995215311,NA,0.2807017543859649,0.5382775119617225,0.07017543859649122,NA,0.009569377990430622,NA,0.023125996810207338,NA,NA,NA,NA,NA,TRUE
49,-120.525,NA,NA,NA,NA,0.8322734499205088,0.15818759936406995,NA,NA,0.00397456279809221,0.0047694753577106515,7.94912559618442e-4,NA,NA,NA,NA,TRUE
49,-120.5,NA,NA,NA,NA,0.03322784810126582,0.5688291139240507,NA,NA,NA,0.3512658227848101,0.04667721518987342,NA,NA,NA,NA,TRUE
49,-120.475,NA,NA,NA,NA,0.9248417721518988,NA,NA,0.07515822784810126,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-120.45,NA,NA,NA,0.006324110671936759,0.9928853754940712,NA,NA,NA,NA,7.905138339920949e-4,NA,NA,NA,NA,NA,TRUE
49,-120.425,NA,NA,NA,NA,0.9968404423380727,NA,NA,NA,NA,0.00315955766192733,NA,NA,NA,NA,NA,TRUE
49,-120.4,NA,NA,NA,0.004777070063694267,0.9514331210191083,0.028662420382165606,NA,NA,0.007165605095541401,0.007961783439490446,NA,NA,NA,NA,NA,TRUE
49,-120.375,NA,NA,NA,NA,0.36327503974562797,0.2861685214626391,0.005564387917329093,NA,NA,0.2957074721780604,0.0492845786963434,NA,NA,NA,NA,TRUE
49,-120.35,NA,0.0031923383878691143,NA,NA,0.9409417398244214,0.047885075818036714,NA,NA,NA,0.007980845969672785,NA,NA,NA,NA,NA,TRUE
49,-120.325,0.09864757358790771,0.003977724741447892,NA,0.010342084327764518,0.012728719172633254,0.3221957040572792,0.031026252983293555,0.2012728719172633,0.006364359586316627,0.30071599045346065,0.012728719172633254,NA,NA,NA,NA,TRUE
49,-120.3,NA,NA,NA,0.00397456279809221,0.624006359300477,0.3354531001589825,NA,NA,NA,0.019077901430842606,NA,NA,0.017488076311605722,NA,NA,TRUE
49,-120.275,0.006384676775738229,NA,NA,NA,0.7813248204309656,0.07661612130885874,NA,0.055865921787709494,NA,0.0039904229848363925,0.06783719074221868,0.007980845969672785,NA,NA,NA,TRUE
49,-120.25,0.012728719172633254,NA,NA,0.018297533810660304,7.955449482895784e-4,0.4733492442322991,NA,NA,0.0015910898965791568,0.4892601431980907,0.003977724741447892,NA,NA,NA,NA,TRUE
49,-120.225,0.0015936254980079682,NA,NA,0.01752988047808765,0.00398406374501992,0.5075697211155379,NA,NA,NA,0.4653386454183267,0.00398406374501992,NA,NA,NA,NA,TRUE
49,-120.2,NA,0.011119936457505957,NA,0.0023828435266084196,0.7950754567116759,0.18030182684670373,0.011119936457505957,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-120.175,NA,NA,NA,NA,0.5123309466984884,0.42561654733492443,NA,NA,NA,0.06205250596658711,NA,NA,NA,NA,NA,TRUE
49,-120.15,NA,NA,NA,NA,0.6550079491255962,0.034976152623211444,NA,NA,NA,NA,0.11287758346581876,0.1971383147853736,NA,NA,NA,TRUE
49,-120.125,NA,NA,NA,NA,0.6409849086576648,0.06830818109610802,NA,NA,NA,7.942811755361397e-4,0.10643367752184273,0.1834789515488483,NA,NA,NA,TRUE
49,-120.1,NA,NA,NA,NA,0.6804123711340206,0.24821570182394925,NA,NA,NA,0.022204599524187154,0.04916732751784298,NA,NA,NA,NA,TRUE
49,-120.075,NA,NA,NA,NA,0.888623707239459,0.10501193317422435,NA,NA,NA,0.006364359586316627,NA,NA,NA,NA,NA,TRUE
49,-120.05,0.02390438247011952,NA,NA,NA,0.7466135458167331,0.17689243027888446,0.00398406374501992,NA,NA,NA,0.035856573705179286,0.012749003984063745,NA,NA,NA,TRUE
49,-120.025,NA,NA,NA,NA,0.5608591885441527,0.3564041368337311,NA,NA,NA,0.08273667462211615,NA,NA,NA,NA,NA,TRUE
49,-120,NA,NA,NA,NA,0.8733174980205859,0.013460015835312747,NA,0.11322248614410134,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-119.975,7.974481658692185e-4,0.0055821371610845294,NA,0.08213716108452951,0.3237639553429027,0.19936204146730463,NA,0.011164274322169059,NA,0.03349282296650718,0.2751196172248804,0.044657097288676235,0.023923444976076555,NA,NA,TRUE
49,-119.95,NA,NA,NA,0.011971268954509178,0.8691141260973663,0.035115722266560255,NA,0.0670391061452514,NA,0.01675977653631285,NA,NA,NA,NA,NA,TRUE
49,-119.925,NA,NA,NA,0.007165605095541401,0.8837579617834395,0.10111464968152867,NA,NA,NA,0.007961783439490446,NA,NA,NA,NA,NA,TRUE
49,-119.9,NA,NA,NA,NA,0.3649402390438247,0.5243027888446216,NA,NA,NA,0.10438247011952191,NA,NA,0.006374501992031873,NA,NA,TRUE
49,-119.875,NA,NA,NA,0.0015936254980079682,0.5394422310756972,0.42231075697211157,NA,NA,NA,0.03187250996015936,NA,NA,0.004780876494023904,NA,NA,TRUE
49,-119.85,NA,0.003179650238473768,NA,0.005564387917329093,0.7138314785373608,0.22575516693163752,NA,NA,NA,0.051669316375198726,NA,NA,NA,NA,NA,TRUE
